title,price,rating,reviews,availability
"Amazon Basics Low-Profile Wired USB Keyboard with US Layout (QWERTY), Matte Black",,4.5 out of 5 stars,"6,919 ratings",In Stock
"AULA F99 Wireless Mechanical Keyboard,Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable Custom Keyboard,Pre-lubed Linear Switches,Gasket Structure,RGB Backlit Gaming Keyboard for PC/Tablet/PS/XBOX",,4.8 out of 5 stars,404 ratings,In Stock
"Womier S-K80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard, Hot Swappable Keyboard, Gasket Mount RGB Custom Keyboard, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa Theme",,4.6 out of 5 stars,385 ratings,In Stock
"Trueque Wireless Keyboard with 7 Colored Backlits, Wrist Rest, Phone Holder, Rechargeable Ergonomic Keyboard with Silent Light Up Keys, Cordless Computer Keyboard for Windows, Mac, Laptop",,4.1 out of 5 stars,22 ratings,In Stock
"Trueque Wireless Keyboard with 7 Colored Backlits, Wrist Rest, Phone Holder, Rechargeable Ergonomic Keyboard with Silent Light Up Keys, Cordless Computer Keyboard for Windows, Mac, Laptop",,4.1 out of 5 stars,22 ratings,In Stock
"Snpurdiri 60% Percent Gaming Keyboard, Ergonomic Small Mini Gaming Keyboard, Compact RGB Backlit Keyboard for Windows, PC, Laptop, Gaming (68 Keys, White)",,4.4 out of 5 stars,"1,130 ratings",In Stock
Mechanical Keyboard Gaming Keyboard | Blue Switch Pink & White Backlit Keyboard | 104 Keys US Layout | Wired Gaming Keyboard | Hot Swappable Mechanical Keyboard | PC Gaming Keyboards,,4.3 out of 5 stars,"1,546 ratings",In Stock
"60% Wired RGB Gaming Mechanical Keyboard, 61 Keys Compact Red Switch Keyboard with Pro Driver Support, Black",,4.6 out of 5 stars,52 ratings,Not Available
KLIM Chroma Gaming Keyboard Wired USB - New 2024 - Durable Ergonomic Waterproof Silent Backlit - Ideal for Gaming and Office - Teclado Gamer - 2 ms Response Time - PC Laptop Mac PS4 PS5 - Black,,4.5 out of 5 stars,"2,693 ratings",In Stock
"MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey",,4.4 out of 5 stars,"7,546 ratings",In Stock
"MageGee Typewriter Mechanical Gaming Keyboard, Retro Pink Punk Round Keycaps LED White Backlit Wired Keyboards with Detachable Wrist Rest for Game and Office, for Windows Laptop PC Mac - Blue Switches",,4.4 out of 5 stars,"1,935 ratings",In Stock
"MageGee 75% Mechanical Gaming Keyboard with Blue Switch, LED Blue Backlit Keyboard, 87 Keys Compact TKL Wired Computer Keyboard for Windows Laptop PC Gamer - Blue/White",,4.2 out of 5 stars,"2,850 ratings",In Stock
"Amazon Basics Rechargeable Wireless Keyboard and Mouse Combo - Ultra Slim, Quiet Full Size Keyboard with Number Pad, QWERTY, 2 Count (Pack of 1), Black",,4.3 out of 5 stars,321 ratings,In Stock
"Logitech Wave Keys Wireless Ergonomic Keyboard with Cushioned Palm Rest, Comfortable Natural Typing, Easy-Switch, Bluetooth, Logi Bolt Receiver, for Multi-OS, Windows/Mac - Graphite",,4.5 out of 5 stars,"26,784 ratings",Only 12 left in stock - order soon.
"Snpurdiri 60% Wired Gaming Keyboard, RGB Backlit Ultra-Compact Mini Keyboard, Waterproof Small Compact 61 Keys Keyboard for PC/Mac Gamer, Typist, Travel, Easy to Carry on Business Trip(Black-white)",,4.3 out of 5 stars,"9,278 ratings",In Stock
Logitech MK335 Wireless Keyboard and Mouse Combo - Black/Silver,,4.5 out of 5 stars,"8,376 ratings",
"Redragon K556 RGB LED Backlit Wired Mechanical Gaming Keyboard, 104 Keys Hot-Swap Mechanical Keyboard w/Aluminum Base, Upgraded Socket and Noise Absorbing Foams, Soft Tactile Brown Switch",,4.6 out of 5 stars,"8,540 ratings",In Stock
"Rii RK100+ Multiple Color Rainbow LED Backlit Large Size USB Wired Mechanical Feeling Multimedia PC Gaming Keyboard,Office Keyboard for Working or Primer Gaming,Office Device",,4.4 out of 5 stars,"6,655 ratings",In Stock
"Corsair K55 CORE RGB Membrane Wired Gaming Keyboard – Quiet, Responsive Switches – Spill Resistance – Ten-Zone RGB – Media Keys – iCUE Compatible – QWERTY NA – PC, Mac – Gray",,4.6 out of 5 stars,"11,933 ratings",In Stock
"Corsair K70 RGB PRO Wired Mechanical Gaming Keyboard (Cherry MX RGB Red Switches: Linear and Fast, 8,000Hz Hyper-Polling, PBT Double-Shot PRO Keycaps, Soft-Touch Palm Rest) QWERTY, NA - Black",,4.6 out of 5 stars,"6,099 ratings",Only 6 left in stock (more on the way).
"AULA F2088 Typewriter Style Mechanical Gaming Keyboard Blue Switches,Rainbow LED Backlit,Removable Wrist Rest,Media Control Knob,Retro Punk Round Keycaps,USB Wired Computer Keyboard",,4.6 out of 5 stars,"1,928 ratings",In Stock
"ASUS ROG Azoth 75% Wireless DIY Custom Gaming Keyboard, OLED Display, Three-Layer Dampening, Hot-Swappable ROG NX Snow Switches & Keyboard Stabilizers, PBT Keycaps, RGB-White",,4.6 out of 5 stars,591 ratings,In Stock
SteelSeries Apex 3 RGB Gaming Keyboard – 10-Zone RGB Illumination – IP32 Water Resistant – Premium Magnetic Wrist Rest (Whisper Quiet Gaming Switch),,4.7 out of 5 stars,"6,744 ratings",In Stock
"Manhattan Wired Computer Keyboard – Basic Black Keyboard - with 4.5ft USB-A Cable, 104-keys, Foldable Stands - Compatible for Windows, PC, Laptop - 3 Yr Mfg Warranty – 179324",,4.2 out of 5 stars,"6,311 ratings",In Stock
"Amazon Basics USB Wired Computer Keyboard (QWERTY) and Mouse Bundle Pack, black",,4.5 out of 5 stars,"10,792 ratings",In Stock
"ASUS ROG Strix Scope II 96 Wireless Gaming Keyboard, Tri-Mode Connection, Dampening Foam & Switch-Dampening Pads, Hot-Swappable Pre-lubed ROG NX Snow Switches, PBT Keycaps, RGB-Black",,4.5 out of 5 stars,323 ratings,In Stock
"ASUS ROG Falchion RX Low Profile 65% Wireless Gaming Keyboard with ROG RX Red Low-Profile switches, tri-Mode Connection with ROG SpeedNova, Silicone dampening Foam, Touch Panel, and MacOS Support.",,4.7 out of 5 stars,73 ratings,In Stock
"7KEYS Typewriter Keyboard Wireless Retro Style, Vintage Classical Mechanical Keyboard with Bluetooth for IPAD PC/Laptop Mac/Phone",,4.2 out of 5 stars,109 ratings,In Stock
"7KEYS Typewriter Keyboard Wireless Retro Style, Vintage Classical Mechanical Keyboard with Bluetooth for IPAD PC/Laptop Mac/Phone",,4.2 out of 5 stars,109 ratings,In Stock
